text,aspect_term,from,to,polarity
"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",rubber enclosure,50,66,1
"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",edge,108,112,-1
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",multi-touch gestures,13,33,1
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",tracking area,44,57,1
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",external mouse,73,87,0
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",gaming,115,121,0
I love the way the entire suite of software works together.,suite of software,26,43,1
The speed is incredible and I am more than satisfied.,speed,4,9,1
This laptop meets every expectation and Windows 7 is great!,Windows 7,40,49,1
I can barely use any usb devices because they will not stay connected properly.,usb devices,21,32,-1
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,software,50,58,0
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,system,111,117,-1
"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.",Microsoft office for the mac,51,79,-1
Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing,67,74,1
"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","30"" HD Monitor",32,46,1
"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",screen,80,86,0
The machine is slow to boot up and occasionally crashes completely.,boot up,23,30,-1
"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service,46,53,-1
I love the operating system and the preloaded software.,operating system,11,27,1
I love the operating system and the preloaded software.,preloaded software,36,54,1
The best thing about this laptop is the price along with some of the newer features.,price,40,45,1
The best thing about this laptop is the price along with some of the newer features.,features,75,83,1
"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).",clock in BIOS setup,57,76,-1
YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,WARRANTY SERVICE,44,60,-1
but now i have realized its a problem with this brand.,brand,48,53,-1
I sent it back to Toshiba twice they covered it under the  warranty.,warranty,59,67,1
I was looking for a mac which is portable and has all the features that I was looking for.,features,58,66,1
Also kinda loud when the fan was running.,fan,25,28,-1
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",Customer Service number,31,54,0
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",warranty,76,84,-1
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",talking to a technician,137,160,-1
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,hard disc,43,52,-1
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,windows,70,77,-1
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,drivers,122,129,0
Drivers updated ok but the BIOS update froze the system up and the computer shut down.,Drivers,0,7,1
Drivers updated ok but the BIOS update froze the system up and the computer shut down.,BIOS update,27,38,-1
Drivers updated ok but the BIOS update froze the system up and the computer shut down.,system,49,55,-1
Spent 2 hours on phone with HP Technical Support.,HP Technical Support,28,48,0
"Speaking of the browser, it too has problems.",browser,16,23,-1
The keyboard is too slick.,keyboard,4,12,-1
Nightly my computer defrags itself and runs a virus scan.,virus scan,46,56,0
"It's like 9 punds, but if you can look past it, it's GREAT!",9 punds,10,17,-1
It's just as fast with one program open as it is with sixteen open.,program,27,34,0
"Still under warrenty so called Toshiba, no help at all.",warrenty,12,20,-1
I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,Toshiba Warranty,120,136,-1
Amazing Quality!,Quality,8,15,1
The fact that you can spend over $100 on just a webcam underscores the value of this machine.,webcam,48,54,0
The fact that you can spend over $100 on just a webcam underscores the value of this machine.,value,71,76,1
"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",internet,27,35,0
"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",managing personal files,41,64,0
"A month or so ago, the freaking motherboard just died.",motherboard,32,43,-1
"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",system,4,10,-1
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,charger,30,37,-1
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,hardware,92,100,-1
"If a website ever freezes (which is rare), its really easy to force quit.",force quit,62,72,1
It rarely works and when it does it's incredibly slow.,works,10,15,-1
I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,Windows 7,66,75,1
I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,VMWare program,95,109,0
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",operating system,44,60,1
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",runs,84,88,1
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",navigate,23,31,1
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",find files,65,75,1
Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,warrenty,64,72,-1
"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.",extended warranty,25,42,0
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,memory,16,22,0
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,speed,98,103,1
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,performace,75,85,1
"The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.",opening my Documents folder,92,119,-1
I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,operating systems,93,110,-1
"Then, within 5 months, the charger crapped out on me.",charger,27,34,-1
And if you have a iphone or ipod touch you can connect and download songs to it at high speed.,speed,88,93,1
I love the glass touchpad.,glass touchpad,11,25,1
  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,hard drive,66,76,-1
  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,mother board,81,93,-1
I am using the external speaker- sound is good.,external speaker,15,31,1
I am using the external speaker- sound is good.,sound,33,38,1
"still testing the battery life as i thought it would be better, but am very happy with the upgrade.",battery life,18,30,-1
"Then HP sends it back to me with the hardware screwed up, not able to connect.",hardware,37,45,-1
"Oh yeah, don't forget the expensive shipping to and from HP.",shipping,36,44,-1
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Mac software,30,42,1
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Microsoft software,72,90,-1
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",use,25,28,1
"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",delete  key,80,91,-1
"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",editing,32,39,-1
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,use,12,15,1
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,service,28,35,1
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,phone assistance,60,76,1
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,genius bar,99,109,1
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,17,29,1
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,180,192,1
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",gaming,142,148,0
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",movie playing,153,166,0
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",web browsing,48,60,0
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",word editing,65,77,0
"Acer has set me up with FREE recovery discs, when they are available since I asked.",recovery discs,29,43,1
"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause.","Office Max's ""Max Assurance""",17,45,0
I eventually did the migration from my iMac backup disc which uses USB.,iMac backup disc,39,55,0
I eventually did the migration from my iMac backup disc which uses USB.,USB,67,70,0
"The battery life seems to be very good, and have had no issues with it.",battery life,4,16,1
Enabling the battery timer is useless.,battery timer,13,26,-1
Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Temperatures,0,12,0
Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Core Processing Unit temperatures,64,97,0
Going to bring it to service today.,service,21,28,0
"There is no need to purchase virus protection for Mac, which saves me a lot of time and money.",virus protection for Mac,29,53,1
"But we had paid for bluetooth, and there was none.",bluetooth,20,29,-1
"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",LG notebook service center,22,48,0
"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",hinge,93,98,-1
"My daughter uses it for games, email, facebook, pictures and music.",games,24,29,0
"It is always reliable, never bugged and responds well.",responds,40,48,1
After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,63,74,-1
After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,114,125,0
"It was slow, locked up, and also had hardware replaced after only 2 months!",hardware,37,45,-1
they had to replace the motherboard in April,motherboard,24,35,-1
"Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.",use,110,113,1
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",representive at Microsoft,31,56,-1
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",system,170,176,-1
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",XP,217,219,1
I love WIndows 7 which is a vast improvment over Vista.,WIndows 7,7,16,1
I love WIndows 7 which is a vast improvment over Vista.,Vista,49,54,-1
"Keyboard is great, very quiet for all the typing that I do.",Keyboard,0,8,1
Dell's customer disservice is an insult to it's customers who pay good money for shoddy products.,Dell's customer disservice,0,26,-1
"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",cooling system,9,23,-1
"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",use,64,67,0
"I can render AVCHD movies with little effort, which was a problem for most pc's unless you had a quad core I7.",quad core I7,97,109,1
"After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.",sales associate,50,65,1
"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",system,29,35,1
"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",Windows applications,58,78,0
You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.,virus program,58,71,-1
It weighed like seven pounds or something like that.,weighed,3,10,0
It weighed like seven pounds or something like that.,seven pounds,16,28,0
"2 months later, the battery went.",battery,20,27,-1
You may need to special order a bag.,bag,32,35,0
It's color is even cool.,color,5,10,1
keys are all in weird places and is way too large for the way it is designed.,keys,0,4,-1
keys are all in weird places and is way too large for the way it is designed.,designed,68,76,-1
"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",style,95,100,1
"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",speed,102,107,1
The keyboard feels good and I type just fine on it.,keyboard,4,12,1
I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,mousepad,76,84,0
"And not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.",battery,62,69,-1
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",sales,26,31,1
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",service,33,40,1
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",DELL SUPPORT,128,140,1
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",hard drive,133,143,0
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",motherboard,152,163,0
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",speed,58,63,1
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",construction quality,65,85,1
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",longevity,91,100,1
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keyboard,71,79,1
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keys,84,88,1
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.","configuration of ""extra key""",118,146,1
) I also tried the touch pad and compared it to other netbooks in the store.,touch pad,19,28,0
"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",use,70,73,1
"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",security,75,83,1
"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",use,36,39,-1
"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",work,92,96,-1
lots of preloaded software.,preloaded software,8,26,1
"I wish it had a webcam though, then it would be perfect!",webcam,16,22,-1
My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,vga port,51,59,1
My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,screen,92,98,0
Another thing I might add is the battery life is excellent.,battery life,33,45,1
"One drawback, I wish the keys were backlit.",keys,25,29,-1
"Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem.",software,200,208,1
I wish the volume could be louder and the mouse didnt break after only a month.,volume,11,17,-1
I wish the volume could be louder and the mouse didnt break after only a month.,mouse,42,47,-1
"I play a lot of casual games online, and the touchpad is very responsive.",touchpad,45,53,1
"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.",boots up,100,108,1
It caught a virus that completely wiped out my hard drive in a matter of hours.,hard drive,47,57,-1
"It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.",look and feel standpoint,46,70,1
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,safari,61,67,-1
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,safari,83,89,-1
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,Mozzilla firfox,110,125,1
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",Bluetooth,4,13,-1
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",fingerprint reader driver,44,69,-1
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",software,94,102,-1
"Great battery, speed, display.",battery,6,13,1
"Great battery, speed, display.",speed,15,20,1
"Great battery, speed, display.",display,22,29,1
"The delivery was fast, and I would not hesitate to purchase this laptop again.",delivery,4,12,1
I've been impressed with the battery life and the performance for such a small amount of memory.,battery life,29,41,1
I've been impressed with the battery life and the performance for such a small amount of memory.,performance,50,61,1
I've been impressed with the battery life and the performance for such a small amount of memory.,memory,89,95,-1
"It's applications are terrific, including the replacements for Microsoft office.",applications,5,17,1
"It's applications are terrific, including the replacements for Microsoft office.",Microsoft office,63,79,1
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",Resolution,35,45,-1
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",appearance,47,57,-1
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",cooling system,59,73,-1
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",graphics card,75,88,-1
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",built-in webcam,21,36,-1
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",built-in mic,41,53,-1
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",cam,269,272,-1
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",mic,277,280,-1
Is this partially due to the fact that it is running Windows Vista?,Windows Vista,53,66,0
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,board,6,11,-1
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,connector,22,31,-1
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,power supply,41,53,-1
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,warrenty,72,80,-1
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,power supply,93,105,-1
"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",ethernet,115,123,1
"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",works,85,90,1
Mostly I love the drag and drop feature.,drag and drop feature,18,39,1
"oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?",webcam,26,32,-1
"I ordered through MacMall, which saved me the sales tax I would have incurred buying locally.",sales tax,46,55,1
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",software packages,37,54,1
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",iWork,84,89,1
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",GarageBand,91,101,1
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",iMovie,107,113,1
The screen is very large and crystal clear with amazing colors and resolution.,screen,4,10,1
The screen is very large and crystal clear with amazing colors and resolution.,colors,56,62,1
The screen is very large and crystal clear with amazing colors and resolution.,resolution,67,77,1
"After a little more than a year of owning my MacBook Pro, the monitor has completely died.",monitor,62,69,-1
"The brand of iTunes has just become ingrained in our lexicon now, but keep in mind that Apple started it all.",iTunes,13,19,1
"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",Size,0,4,-1
"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",external monitor,76,92,0
Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,base installation,23,40,-1
Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,software,74,82,-1
  Taking it back to Best Buy I found that a tiny plastic piece inside had broken (manuf issue).,manuf,82,87,-1
"The display is incredibly bright, much brighter than my PowerBook and very crisp.",display,4,11,1
The AMD Turin processor seems to always perform so much better than Intel.,AMD Turin processor,4,23,1
The AMD Turin processor seems to always perform so much better than Intel.,Intel,68,73,-1
  After that the said it was under warranty.,warranty,35,43,0
The start menu is not the easiest thing to navigate due to the stacking.,start menu,4,14,-1
The start menu is not the easiest thing to navigate due to the stacking.,navigate,43,51,-1
Only thing I would want to add to this is an internal bluray read/write drive.,bluray read/write drive,54,77,-1
The service tech said he had tried to duplicate the damage and wasn't able to recreate it therefore it had to be their defect.,service tech,4,16,-1
"The tech store I purchased this from sent it back,,,,,eventually I got a new or repaired machine approximately 3 weeks later.",tech store,4,14,-1
Really like the textured surface which shows no fingerprints.,surface,25,32,1
The screen is bright and the keyboard is nice;,screen,4,10,1
The screen is bright and the keyboard is nice;,keyboard,29,37,1
But the machine is awesome and iLife is great and I love Snow Leopard X.,iLife,31,36,1
But the machine is awesome and iLife is great and I love Snow Leopard X.,Snow Leopard X,57,71,1
"High price tag, however.",price tag,5,14,-1
"I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC.",Mac OS,23,29,1
"I had static in the output, and I had to reduce the sound output quality to ""FM"" as opposed to the default ""CD.",sound output quality,52,72,-1
I custom ordered the machine from HP and could NOT understand the techie due to his accent.,techie,66,72,-1
It is easy to use and lightweight.,use,14,17,1
I went to Toshiba online help and found some suggestions to fix it.,Toshiba online help,10,29,1
They also have a longer service life than other computers (I have several friends who still use the older Apple PowerBooks).,service life,24,36,1
If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,ports,68,73,0
If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,processor,103,112,0
This laptop is a great price and has a sleek look.,price,23,28,1
This laptop is a great price and has a sleek look.,look,45,49,1
I especially like the keyboard which has chiclet type keys.,keyboard,22,30,1
I especially like the keyboard which has chiclet type keys.,keys,54,58,1
Runs Hot  I thought we were paying for quality in our decision to buy an Apple product.,quality,39,46,-1
"For the not so good, I got the stock screen - which is VERY glossy.",stock screen,31,43,-1
The gray color was a good choice.,gray color,4,14,1
I would like to have volume buttons rather than the adjustment that is on the front.,volume buttons,21,35,-1
The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,processor,4,13,-1
The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,computing,94,103,-1
I bought a protector for my key pad and it works great :),protector,11,20,0
I bought a protector for my key pad and it works great :),key pad,28,35,1
The magnetic plug-in power charging power cord is great (I even put it to the test by accident)- excellent innovation!,magnetic plug-in power charging power cord,4,46,1
It seems they could have updated XP and done without creating Vista.,XP,33,35,1
It seems they could have updated XP and done without creating Vista.,Vista,62,67,-1
"  It is easy to use, fast and has great graphics for the money.",graphics,40,48,1
"  It is easy to use, fast and has great graphics for the money.",use,16,19,1
I like how the Mac OS is so simple and easy to use.,Mac OS,15,21,1
I like how the Mac OS is so simple and easy to use.,use,47,50,1
"While Apple's saving grace is the fact that they at least stand behind their products, and their support is great, it would be nice if their products were more reliable to justify the premium.",support,97,104,1
"I was ready to take it back for a refund, but the Geek Squad camed through and pointed me in the right direction to get it fixed.",Geek Squad,50,60,1
only good thing is the graphics quality.,graphics quality,23,39,1
"The other lock-up problems are from a myriad of causes, the most common being a corrupted version of Appleworks which can render the browser useless.",Appleworks,101,111,-1
"The other lock-up problems are from a myriad of causes, the most common being a corrupted version of Appleworks which can render the browser useless.",browser,133,140,-1
The paint wears off easily due to the keyboard being farther back than usual.,paint,4,9,-1
The paint wears off easily due to the keyboard being farther back than usual.,keyboard,38,46,-1
I had purchased it from a major electronics store and took it to their service department to find out what the problem was.,service department,71,89,0
The store honored their warrenty and made the comment that they don't even recommend the HP brand because of the problems with their warrentys.,warrenty,24,32,1
The store honored their warrenty and made the comment that they don't even recommend the HP brand because of the problems with their warrentys.,warrentys,133,142,-1
I always use a backup hard disk to store important files at all times.,hard disk,22,31,0
"They sent out the box right away for me to send in my computer, they paid postage and whatnot, but when I got my computer back it still wasn't running right, and now my CD drive wasn't reading anything!",CD drive,169,177,-1
"They sent out the box right away for me to send in my computer, they paid postage and whatnot, but when I got my computer back it still wasn't running right, and now my CD drive wasn't reading anything!",running,143,150,-1
But the screen size is not that bad for email and web browsing.,screen size,8,19,1
But the screen size is not that bad for email and web browsing.,web browsing,50,62,0
Once I removed all the software the laptop loads in 15-20 seconds.,software,23,31,-1
Once I removed all the software the laptop loads in 15-20 seconds.,loads,43,48,0
On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.,trackpad,41,49,-1
On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.,external mouse,65,79,0
On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.,trackpad,106,114,-1
This computer doesn't do that well with certain games it can't play some and it becomes too hot while playing games.,games,48,53,-1
"Obviously one of the most important features of any computer is the ""human interface.",features,36,44,0
"Obviously one of the most important features of any computer is the ""human interface.",human interface,69,84,0
"Yeah, of course smarty pants ""fix it now"")Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple (which I promptly did).",inbuilt applications,98,118,-1
"Yeah, of course smarty pants ""fix it now"")Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple (which I promptly did).",Software,42,50,-1
The body is a bit cheaply made so it will be interesting to see how long it holds up.,body,4,8,-1
